artigoEmPeriodico	Ademar Benévolo Lugão	2022	1999-4923	http://dx.doi.org/10.3390/pharmaceutics14051060	IAEA Contribution to Nanosized Targeted Radiopharmaceuticals for Drug Delivery	PHARMACEUTICS	JALILIAN, AMIR R. ; OCAMPO-GARCÍA, BLANCA ; PASANPHAN, WANVIMOL ; SAKR, TAMER M. ; MELENDEZ-ALAFORT, LAURA ; GRASSELLI, MARIANO ; Lugao, Ademar B. ; YOUSEFNIA, HASSAN ; DISPENZA, CLELIA ; JANIB, SITI MOHD ; KHAN, IRFAN U. ; MAURIN, MICHA' ; ULA'SKI, PIOTR ; LOO, SAY CHYE JOACHIM ; SAFRANY, AGNES ; OSSO, JOAO A. ; DUATTI, ADRIANO ; KATTI, KATTESH V.	A1	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	0001-706X	http://dx.doi.org/10.1016/j.actatropica.2020.105805	Influence of gamma radiation on Amphotericin B incorporated in PVP hydrogel as an alternative treatment for cutaneous leishmaniosis	ACTA TROPICA	OLIVEIRA, MARIA JOSÉ ALVES DE ; VILLEGAS, GETHZEMANI MAYELI ESTRADA ; MOTTA, FLÁVIA DANIELA ; FABELA-SÁNCHEZ, OMAR ; ESPINOSA-ROA, ARIÁN ; FOTORAN, WESLEY LUZETTI ; PEIXOTO, JANAÍNA CAPELLI ; TANO, FABIA TOMIE ; Lugão, Ademar Benévolo ; VÁSQUEZ, PABLO ANTONIO SALVADOR	A2	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	1929-5995	http://dx.doi.org/10.6000/1929-5995.2021.10.4	Effect of Ionizing Radiation Applied to PLA Used as Compatibilizing Agent in Reinforced eGG Shell PBAT/PLA Bio-Based Composites	JOURNAL OF RESEARCH UPDATES IN POLYMER SCIENCE	CARDOSO, ELIZABETH C.L. ; Parra, Duclerc F. ; Scagliusi, Sandra R. ; KOMATSU, L.G.H. ; Lugão, Ademar B.	B3	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	1929-5995	http://dx.doi.org/10.6000/1929-5995.2021.10.1	Introduction to the Study of Mechanical Properties of Terpolymer PP/EPDM Mixtures	JOURNAL OF RESEARCH UPDATES IN POLYMER SCIENCE	Scagliusi, Sandra R. ; CARVALHO, ELIZABETH C.L. ; Lugão, Ademar B.	B3	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	2045-2322	http://dx.doi.org/10.1038/s41598-021-96224-8	Green nanotechnology of MGF-AuNPs for immunomodulatory intervention in prostate cancer therapy	Scientific Reports	KHOOBCHANDANI, MENKA ; KHAN, ASLAM ; KATTI, KAVITA K. ; THIPE, VELAPHI C. ; AL-YASIRI, AMAL Y. ; MOHANDOSS, DARSHA K. D. ; NICHOLL, MICHAEL B. ; Lugão, Ademar B. ; HANS, CHETAN P. ; KATTI, KATTESH V.	A1	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	2079-4991	http://dx.doi.org/10.3390/nano11102579	The State of the Art of Theranostic Nanomaterials for Lung, Breast, and Prostate Cancers	Nanomaterials	FREITAS, LUCAS F. ; FERREIRA, ARYEL H. ; THIPE, VELAPHI C. ; VARCA, GUSTAVO H. C. ; LIMA, CAROLINE S. A. ; BATISTA, JORGE G. S. ; RIELLO, FABIANE N. ; NOGUEIRA, KAMILA ; CRUZ, CASSIA P. C. ; MENDES, GIOVANNA O. A. ; RODRIGUES, ADRIANA S. ; SOUSA, THAYNA S. ; ALVES, VICTORIA M. ; Lugão, Ademar B.	A3	
artigoEmPeriodico	Ademar Benévolo Lugão	2021	0969-806X	http://dx.doi.org/10.1016/j.radphyschem.2021.109644	A mechanistic approach towards the formation of bityrosine in proteins by ionizing radiation - GYG model peptide	RADIATION PHYSICS AND CHEMISTRY	SOWI'SKI, SEBASTIAN ; VARCA, GUSTAVO H.C. ; KAD'UBOWSKI, S'AWOMIR ; Lugão, Ademar B. ; ULA'SKI, PIOTR	A1	
trabalhoCompletoEmCongresso	Ademar Benévolo Lugão	2021	http://dx.doi.org/10.1007/978-3-319-48191-3_79	Introduction to foamability study of a LDPE subjected to gamma radiation	16º CONGRESSO BRASILEIRO DE POLÍMEROS	Cardoso, E. C. L ; SCAGLIUSI, S. R. ; PARRA, Duclerc F ; Lugão, Ademar B.	Qualis nao identificado	16º CONGRESSO BRASILEIRO DE POLÍMEROS
resumoExpandidoEmCongresso	Ademar Benévolo Lugão	2021	Desenvolvimento de nanopartículas de ouro (AuNPs) para teranóstica	PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA; SEMINÁRIO ANUAL PIBIC, 27.; SEMINÁRIO ANUAL PROBIC, 18.; SEMINÁRIO ANUAL PIBITI, 11, 2021, São Paulo. PIBIC-PROBIC-PIBITI - 2021	RODRIGUES, A. S. ; Lugão, Ademar B. ; BATISTA, JORGE G. S. ; CAVALCANTE, ADRIANA K ; DE FREITAS, LUCAS F. ; CRUZ, CASSIA P. C.	Qualis nao identificado	PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA; SEMINÁRIO ANUAL PIBIC, 27.; SEMINÁRIO ANUAL PROBIC, 18.; SEMINÁRIO ANUAL PIBITI, 11, 2021, SÃO PAULO. PIBIC-PROBIC-PIBITI - 2021
artigoEmPeriodico	Carla Daruich de Souza	2024	2383-0433	http://dx.doi.org/10.32768/abc.2024112172-182	Evaluation of the Possible Benefits of Breast Cancer Screening in Women Aged 40 to 49 Years in the Steel Valley Region, Brazil	Archives of Breast Cancer	LIMA, C. C. A. ; Daruich de Souza, Carla	Qualis nao identificado	ARCHIVES OF BREAST CANCER
